tank,dxf,full_allowed_harmful_overlap_percent,half_allowed_harmful_overlap_percent,coverage_percent,double_coverage_percent,circular_profile_count,vertical_full_profile_count,vertical_half_profile_count,horizontal_full_profile_count,horizontal_half_profile_count,total_scan_profile_count,rejected_interior_candidate_count,runtime_seconds
150ft,3 Tank examples\150ft.dxf,0.0,0.0,59.95949926362297,1.6331790448138017,555,11,1019,4,301,1890,389,42.68739890004508
150ft,3 Tank examples\150ft.dxf,5.0,0.0,88.31527456343362,6.490637492110246,555,1008,27,210,197,1997,282,39.54444369999692
150ft,3 Tank examples\150ft.dxf,10.0,5.0,94.02482642541553,7.81611613717652,555,1018,29,417,42,2061,218,38.03130010003224
150ft,3 Tank examples\150ft.dxf,15.0,10.0,95.5606985062066,8.273721859877972,555,1027,51,454,6,2093,186,38.52060439996421
150ft,3 Tank examples\150ft.dxf,20.0,15.0,95.98674521354934,8.463075952030296,555,1040,45,457,5,2102,177,38.08144400001038
150ft,3 Tank examples\150ft.dxf,25.0,20.0,96.32337471070903,8.657689880075742,555,1052,38,459,5,2109,170,37.687384300050326
150ft,3 Tank examples\150ft.dxf,30.0,25.0,96.62055543867031,8.831264464548706,555,1062,33,460,7,2117,162,36.918008699896745
150ft,3 Tank examples\150ft.dxf,35.0,30.0,96.80201977698296,8.991689459288871,555,1069,28,462,8,2122,157,36.939662100048736
150ft,3 Tank examples\150ft.dxf,40.0,35.0,96.88880706921944,9.165264043761834,555,1076,22,464,7,2124,155,36.981132599990815
150ft,3 Tank examples\150ft.dxf,45.0,40.0,96.95718493583,9.38617715127288,555,1085,14,466,5,2125,154,38.34429879998788
150ft,3 Tank examples\150ft.dxf,50.0,45.0,97.0755312434252,9.604460340837365,555,1093,10,468,3,2129,150,36.5896064999979
150ft,3 Tank examples\150ft.dxf,55.0,50.0,97.08605091521144,9.71491689459289,555,1098,5,468,3,2129,150,37.77592160005588
150ft,3 Tank examples\150ft.dxf,60.0,55.0,97.10972017673049,9.78855459709657,555,1100,3,469,3,2130,149,36.46372280002106
150ft,3 Tank examples\150ft.dxf,65.0,60.0,97.20965705869976,10.038396802019777,555,1106,1,473,1,2136,143,36.077320999931544
150ft,3 Tank examples\150ft.dxf,70.0,65.0,97.28592467915001,10.267199663370503,555,1112,0,475,0,2142,137,36.028685799916275
150ft,3 Tank examples\150ft.dxf,75.0,70.0,97.28592467915001,10.267199663370503,555,1112,0,475,0,2142,137,36.105183199979365
150ft,3 Tank examples\150ft.dxf,80.0,75.0,97.28592467915001,10.267199663370503,555,1112,0,475,0,2142,137,36.04533230001107
150ft,3 Tank examples\150ft.dxf,85.0,80.0,97.28592467915001,10.267199663370503,555,1112,0,475,0,2142,137,36.164789099944755
150ft,3 Tank examples\150ft.dxf,90.0,85.0,97.28592467915001,10.267199663370503,555,1112,0,475,0,2142,137,36.577385600074194
150ft,3 Tank examples\150ft.dxf,95.0,90.0,97.28592467915001,10.267199663370503,555,1112,0,475,0,2142,137,36.70917509996798
150ft,3 Tank examples\150ft.dxf,100.0,95.0,97.28592467915001,10.267199663370503,555,1112,0,475,0,2142,137,36.3818569999421
24ft,3 Tank examples\24ft.dxf,0.0,0.0,75.80738480959394,4.1342310119924255,35,1,12,0,0,48,37,1.267568500014022
24ft,3 Tank examples\24ft.dxf,5.0,0.0,77.6535872080791,4.176309699137387,35,3,10,0,0,48,37,1.2460215999744833
24ft,3 Tank examples\24ft.dxf,10.0,5.0,79.47349042709867,4.255207237534189,35,1,16,0,0,52,33,1.3190277999965474
24ft,3 Tank examples\24ft.dxf,15.0,10.0,80.90153587208079,4.7101830422890805,35,3,14,0,0,52,33,1.2960671000182629
24ft,3 Tank examples\24ft.dxf,20.0,15.0,82.11392804544498,5.315064169997896,35,5,12,0,0,52,33,1.292245600023307
24ft,3 Tank examples\24ft.dxf,25.0,20.0,85.49600252472123,8.473595623816538,35,12,5,0,0,52,33,1.2460085999919102
24ft,3 Tank examples\24ft.dxf,30.0,25.0,86.87933936461182,9.79644435093625,35,13,6,0,0,54,31,1.2666036000009626
24ft,3 Tank examples\24ft.dxf,35.0,30.0,86.87933936461182,9.79644435093625,35,13,6,0,0,54,31,1.255500299972482
24ft,3 Tank examples\24ft.dxf,40.0,35.0,88.49147906585314,11.605827898169577,35,16,4,0,0,55,30,1.3311729000415653
24ft,3 Tank examples\24ft.dxf,45.0,40.0,88.77814012202819,12.08710288239007,35,17,3,0,0,55,30,1.279348500072956
24ft,3 Tank examples\24ft.dxf,50.0,45.0,88.93067536292868,13.494108983799705,35,19,1,0,0,55,30,1.2995839000213891
24ft,3 Tank examples\24ft.dxf,55.0,50.0,89.16210814222596,11.28234799074269,35,14,8,0,0,57,28,1.3535445000743493
24ft,3 Tank examples\24ft.dxf,60.0,55.0,89.16210814222596,11.28234799074269,35,14,8,0,0,57,28,1.3881056999089196
24ft,3 Tank examples\24ft.dxf,65.0,60.0,90.7532084998948,12.970755312434251,35,16,8,0,0,59,26,1.4258961000014096
24ft,3 Tank examples\24ft.dxf,70.0,65.0,90.7532084998948,12.970755312434251,35,16,8,0,0,59,26,1.3081123000010848
24ft,3 Tank examples\24ft.dxf,75.0,70.0,90.7532084998948,12.970755312434251,35,16,8,0,0,59,26,1.3220803999574855
24ft,3 Tank examples\24ft.dxf,80.0,75.0,91.29497159688617,14.135808962760361,35,16,10,0,0,61,24,1.3374902000650764
24ft,3 Tank examples\24ft.dxf,85.0,80.0,91.29497159688617,14.135808962760361,35,16,10,0,0,61,24,1.3337812999961898
24ft,3 Tank examples\24ft.dxf,90.0,85.0,91.29497159688617,14.135808962760361,35,16,10,0,0,61,24,1.3333025000756606
24ft,3 Tank examples\24ft.dxf,95.0,90.0,91.29497159688617,14.135808962760361,35,16,10,0,0,61,24,1.3443773000035435
24ft,3 Tank examples\24ft.dxf,100.0,95.0,91.29497159688617,14.135808962760361,35,16,10,0,0,61,24,1.3387598000699654
65ft,3 Tank examples\65ft.dxf,0.0,0.0,74.42404796970335,2.6719966337050285,229,24,106,2,41,402,130,6.606604199972935
65ft,3 Tank examples\65ft.dxf,5.0,0.0,76.45171470650116,2.7114454029034296,229,27,104,12,35,407,125,6.625587000045925
65ft,3 Tank examples\65ft.dxf,10.0,5.0,93.18588260046286,5.117820324005891,229,132,2,57,4,424,108,5.84432009991724
65ft,3 Tank examples\65ft.dxf,15.0,10.0,94.67704607616243,5.446560067325899,229,134,1,64,3,431,101,6.404765899991617
65ft,3 Tank examples\65ft.dxf,20.0,15.0,95.70271407532086,5.6779928466231855,229,136,0,67,5,437,95,5.934704100014642
65ft,3 Tank examples\65ft.dxf,25.0,20.0,96.13139070061014,5.822638333683989,229,137,1,68,5,440,92,7.6707074999576434
65ft,3 Tank examples\65ft.dxf,30.0,25.0,96.3575636440143,5.919945297706712,229,137,1,69,6,442,90,6.317616399959661
65ft,3 Tank examples\65ft.dxf,35.0,30.0,96.46013044393015,6.033031769408795,229,137,1,70,6,443,89,6.006705199950375
65ft,3 Tank examples\65ft.dxf,40.0,35.0,96.76257100778456,6.2565747948664,229,138,1,71,7,446,86,5.994944299920462
65ft,3 Tank examples\65ft.dxf,45.0,40.0,97.26488533557753,6.727330107300652,229,140,0,75,5,449,83,6.021892599994317
65ft,3 Tank examples\65ft.dxf,50.0,45.0,97.26488533557753,6.727330107300652,229,140,0,75,5,449,83,5.978633099934086
65ft,3 Tank examples\65ft.dxf,55.0,50.0,97.47264885335578,6.948243214811698,229,141,0,76,5,451,81,6.032652899972163
65ft,3 Tank examples\65ft.dxf,60.0,55.0,97.56206606353882,7.05869976856722,229,142,0,76,5,452,80,6.113678599940613
65ft,3 Tank examples\65ft.dxf,65.0,60.0,97.5699558173785,7.363770250368188,229,142,0,79,2,452,80,5.933705499977805
65ft,3 Tank examples\65ft.dxf,70.0,65.0,97.71986114033243,7.863454660214601,229,142,0,83,0,454,78,6.005383500014432
65ft,3 Tank examples\65ft.dxf,75.0,70.0,97.71986114033243,7.863454660214601,229,142,0,83,0,454,78,5.939327299944125
65ft,3 Tank examples\65ft.dxf,80.0,75.0,97.71986114033243,7.863454660214601,229,142,0,83,0,454,78,6.092463499982841
65ft,3 Tank examples\65ft.dxf,85.0,80.0,97.71986114033243,7.863454660214601,229,142,0,83,0,454,78,5.959359399974346
65ft,3 Tank examples\65ft.dxf,90.0,85.0,97.71986114033243,7.863454660214601,229,142,0,83,0,454,78,6.027755900053307
65ft,3 Tank examples\65ft.dxf,95.0,90.0,97.71986114033243,7.863454660214601,229,142,0,83,0,454,78,5.968972200062126
65ft,3 Tank examples\65ft.dxf,100.0,95.0,97.71986114033243,7.863454660214601,229,142,0,83,0,454,78,5.964996799943037
